hostname,fullpath,filepath,drive,filename,fileextension,username
NS0007VZI,c:\Windows\System32\iTVData.dll,Windows\System32,c,iTVData.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\dfshim.dll,Windows\System32,c,dfshim.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wbem\wmipdfs.dll,Windows\System32\wbem,c,wmipdfs.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\XpsFilt.dll,Windows\System32,c,XpsFilt.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\urlmon.dll,Windows\SysWOW64,c,urlmon.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wbem\WMIPIPRT.dll,Windows\System32\wbem,c,WMIPIPRT.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\mshtmled.dll,Windows\SysWOW64,c,mshtmled.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\mfdvdec.dll,Windows\SysWOW64,c,mfdvdec.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\mfps.dll,Windows\System32,c,mfps.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wbem\wbemprox.dll,Windows\System32\wbem,c,wbemprox.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\mup.sys,Windows\System32\drivers,c,mup.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\ndfetw.dll,Windows\System32,c,ndfetw.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\vbisurf.ax,Windows\System32,c,vbisurf.ax,ax,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\MP43DECD.DLL,Windows\System32,c,MP43DECD.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\IME\IMEJP10\IMJPTIP.DLL,Windows\System32\IME\IMEJP10,c,IMJPTIP.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\MMDevAPI.dll,Windows\System32,c,MMDevAPI.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wbem\ServDeps.dll,Windows\System32\wbem,c,ServDeps.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\KMSVC.DLL,Windows\System32,c,KMSVC.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\raspppoe.sys,Windows\System32\drivers,c,raspppoe.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\bthmodem.sys,Windows\System32\drivers,c,bthmodem.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\usbcir.sys,Windows\System32\drivers,c,usbcir.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\msrdpwebaccess.dll,Windows\System32,c,msrdpwebaccess.dll,dll,NT SERVICE\TrustedInstaller
NS0007VZI,c:\Windows\System32\qdv.dll,Windows\System32,c,qdv.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\BrSerWdm.sys,Windows\System32\drivers,c,BrSerWdm.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\IME\imekr8\imkrtip.dll,Windows\System32\IME\imekr8,c,imkrtip.dll,dll,NT AUTHORITY\SYSTEM
