hostname,fullpath,filepath,drive,filename,fileextension,username
NC546YHJ,c:\Windows\System32\SDDS.dll,Windows\System32,c,SDDS.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\imapi2fs.dll,Windows\System32,c,imapi2fs.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\ncbservice.dll,Windows\System32,c,ncbservice.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\colorui.dll,Windows\SysWOW64,c,colorui.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\oleaut32.dll,Windows\SysWOW64,c,oleaut32.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Program Files\McAfee\MfeAV\McOasShm.dll,Program Files\McAfee\MfeAV,c,McOasShm.dll,dll,BUILTIN\Administrators
NC546YHJ,c:\Windows\System32\lmhsvc.dll,Windows\System32,c,lmhsvc.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Program Files\McAfee\MPF\MpfEvt.dll,Program Files\McAfee\MPF,c,MpfEvt.dll,dll,BUILTIN\Administrators
NC546YHJ,c:\Program Files\McAfee\VUL\McVulAP.dll,Program Files\McAfee\VUL,c,McVulAP.dll,dll,BUILTIN\Administrators
NC546YHJ,c:\Windows\SysWOW64\AuthFWGP.dll,Windows\SysWOW64,c,AuthFWGP.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\program files (x86)\openoffice 4\program\shlxthdl\shlxthdl.dll,program files (x86)\openoffice 4\program\shlxthdl,c,shlxthdl.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\drivers\sdbus.sys,Windows\System32\drivers,c,sdbus.sys,sys,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\ngccredprov.dll,Windows\System32,c,ngccredprov.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\IME\IMEJP\IMJPPRED.DLL,Windows\System32\IME\IMEJP,c,IMJPPRED.DLL,DLL,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\windows.applicationmodel.store.dll,Windows\SysWOW64,c,windows.applicationmodel.store.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\alg.exe,Windows\System32,c,alg.exe,exe,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\inetcomm.dll,Windows\System32,c,inetcomm.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\SysWOW64\bcastdvr.proxy.dll,Windows\SysWOW64,c,bcastdvr.proxy.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\wbem\wbemcntl.dll,Windows\System32\wbem,c,wbemcntl.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\windows.devices.alljoyn.dll,Windows\System32,c,windows.devices.alljoyn.dll,dll,NT AUTHORITY\SYSTEM
NC546YHJ,c:\Windows\System32\iscsiexe.dll,Windows\System32,c,iscsiexe.dll,dll,NT AUTHORITY\SYSTEM
